"Any","Codi_Districte","Nom_Districte","Codi_Barri","Nom_Barri","Sexe","Edat any a any","Nombre"
2018,1,"Ciutat Vella",1,"el Raval","Home","0 anys",262
2018,1,"Ciutat Vella",2,"el Barri Gòtic","Home","0 anys",53
2018,1,"Ciutat Vella",3,"la Barceloneta","Home","0 anys",42
2018,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera","Home","0 anys",81
2018,2,"Eixample",5,"el Fort Pienc","Home","0 anys",115
2018,2,"Eixample",6,"la Sagrada Família","Home","0 anys",189
2018,2,"Eixample",7,"la Dreta de l'Eixample","Home","0 anys",169
2018,2,"Eixample",8,"l'Antiga Esquerra de l'Eixample","Home","0 anys",163
2018,2,"Eixample",9,"la Nova Esquerra de l'Eixample","Home","0 anys",202
2018,2,"Eixample",10,"Sant Antoni","Home","0 anys",161
2018,3,"Sants-Montjuïc",11,"el Poble Sec","Home","0 anys",149
2018,3,"Sants-Montjuïc",12,"la Marina del Prat Vermell","Home","0 anys",4
2018,3,"Sants-Montjuïc",13,"la Marina de Port","Home","0 anys",120
2018,3,"Sants-Montjuïc",14,"la Font de la Guatlla","Home","0 anys",37
2018,3,"Sants-Montjuïc",15,"Hostafrancs","Home","0 anys",74
2018,3,"Sants-Montjuïc",16,"la Bordeta","Home","0 anys",75
2018,3,"Sants-Montjuïc",17,"Sants - Badal","Home","0 anys",107
2018,3,"Sants-Montjuïc",18,"Sants","Home","0 anys",145
2018,4,"Les Corts",19,"les Corts","Home","0 anys",201
2018,4,"Les Corts",20,"la Maternitat i Sant Ramon","Home","0 anys",94
2018,4,"Les Corts",21,"Pedralbes","Home","0 anys",30
2018,5,"Sarrià-Sant Gervasi",22,"Vallvidrera, el Tibidabo i les Planes","Home","0 anys",19
2018,5,"Sarrià-Sant Gervasi",23,"Sarrià","Home","0 anys",121
2018,5,"Sarrià-Sant Gervasi",24,"les Tres Torres","Home","0 anys",65
2018,5,"Sarrià-Sant Gervasi",25,"Sant Gervasi - la Bonanova","Home","0 anys",101
2018,5,"Sarrià-Sant Gervasi",26,"Sant Gervasi - Galvany","Home","0 anys",204
2018,5,"Sarrià-Sant Gervasi",27,"el Putxet i el Farró","Home","0 anys",114
2018,6,"Gràcia",28,"Vallcarca i els Penitents","Home","0 anys",58
2018,6,"Gràcia",29,"el Coll","Home","0 anys",24
2018,6,"Gràcia",30,"la Salut","Home","0 anys",61
2018,6,"Gràcia",31,"la Vila de Gràcia","Home","0 anys",224
2018,6,"Gràcia",32,"el Camp d'en Grassot i Gràcia Nova","Home","0 anys",143
2018,7,"Horta-Guinardó",33,"el Baix Guinardó","Home","0 anys",91
2018,7,"Horta-Guinardó",34,"Can Baró","Home","0 anys",37
2018,7,"Horta-Guinardó",35,"el Guinardó","Home","0 anys",139
2018,7,"Horta-Guinardó",36,"la Font d'en Fargues","Home","0 anys",27
2018,7,"Horta-Guinardó",37,"el Carmel","Home","0 anys",117
2018,7,"Horta-Guinardó",38,"la Teixonera","Home","0 anys",45
2018,7,"Horta-Guinardó",39,"Sant Genís dels Agudells","Home","0 anys",26
2018,7,"Horta-Guinardó",40,"Montbau","Home","0 anys",27
2018,7,"Horta-Guinardó",41,"la Vall d'Hebron","Home","0 anys",13
2018,7,"Horta-Guinardó",42,"la Clota","Home","0 anys",6
2018,7,"Horta-Guinardó",43,"Horta","Home","0 anys",99
2018,8,"Nou Barris",44,"Vilapicina i la Torre Llobeta","Home","0 anys",88
2018,8,"Nou Barris",45,"Porta","Home","0 anys",102
2018,8,"Nou Barris",46,"el Turó de la Peira","Home","0 anys",80
2018,8,"Nou Barris",47,"Can Peguera","Home","0 anys",6
2018,8,"Nou Barris",48,"la Guineueta","Home","0 anys",48
2018,8,"Nou Barris",49,"Canyelles","Home","0 anys",33
2018,8,"Nou Barris",50,"les Roquetes","Home","0 anys",81
2018,8,"Nou Barris",51,"Verdun","Home","0 anys",50
2018,8,"Nou Barris",52,"la Prosperitat","Home","0 anys",118
2018,8,"Nou Barris",53,"la Trinitat Nova","Home","0 anys",35
2018,8,"Nou Barris",54,"Torre Baró","Home","0 anys",19
2018,8,"Nou Barris",55,"Ciutat Meridiana","Home","0 anys",51
2018,8,"Nou Barris",56,"Vallbona","Home","0 anys",4
2018,9,"Sant Andreu",57,"la Trinitat Vella","Home","0 anys",61
2018,9,"Sant Andreu",58,"Baró de Viver","Home","0 anys",11
2018,9,"Sant Andreu",59,"el Bon Pastor","Home","0 anys",71
2018,9,"Sant Andreu",60,"Sant Andreu","Home","0 anys",224
2018,9,"Sant Andreu",61,"la Sagrera","Home","0 anys",127
2018,9,"Sant Andreu",62,"el Congrés i els Indians","Home","0 anys",57
2018,9,"Sant Andreu",63,"Navas","Home","0 anys",95
2018,10,"Sant Martí",64,"el Camp de l'Arpa del Clot","Home","0 anys",132
2018,10,"Sant Martí",65,"el Clot","Home","0 anys",117
2018,10,"Sant Martí",66,"el Parc i la Llacuna del Poblenou","Home","0 anys",75
2018,10,"Sant Martí",67,"la Vila Olímpica del Poblenou","Home","0 anys",32
2018,10,"Sant Martí",68,"el Poblenou","Home","0 anys",154
2018,10,"Sant Martí",69,"Diagonal Mar i el Front Marítim del Poblenou","Home","0 anys",96
2018,10,"Sant Martí",70,"el Besòs i el Maresme","Home","0 anys",111
2018,10,"Sant Martí",71,"Provençals del Poblenou","Home","0 anys",104
2018,10,"Sant Martí",72,"Sant Martí de Provençals","Home","0 anys",100
2018,10,"Sant Martí",73,"la Verneda i la Pau","Home","0 anys",110
2018,1,"Ciutat Vella",1,"el Raval","Home","1 any",224
2018,1,"Ciutat Vella",2,"el Barri Gòtic","Home","1 any",51
2018,1,"Ciutat Vella",3,"la Barceloneta","Home","1 any",47
2018,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera","Home","1 any",85
2018,2,"Eixample",5,"el Fort Pienc","Home","1 any",131
2018,2,"Eixample",6,"la Sagrada Família","Home","1 any",191
2018,2,"Eixample",7,"la Dreta de l'Eixample","Home","1 any",184
2018,2,"Eixample",8,"l'Antiga Esquerra de l'Eixample","Home","1 any",168
2018,2,"Eixample",9,"la Nova Esquerra de l'Eixample","Home","1 any",221
2018,2,"Eixample",10,"Sant Antoni","Home","1 any",145
2018,3,"Sants-Montjuïc",11,"el Poble Sec","Home","1 any",168
2018,3,"Sants-Montjuïc",12,"la Marina del Prat Vermell","Home","1 any",10
2018,3,"Sants-Montjuïc",13,"la Marina de Port","Home","1 any",124
2018,3,"Sants-Montjuïc",14,"la Font de la Guatlla","Home","1 any",46
2018,3,"Sants-Montjuïc",15,"Hostafrancs","Home","1 any",80
2018,3,"Sants-Montjuïc",16,"la Bordeta","Home","1 any",88
2018,3,"Sants-Montjuïc",17,"Sants - Badal","Home","1 any",83
2018,3,"Sants-Montjuïc",18,"Sants","Home","1 any",199
2018,4,"Les Corts",19,"les Corts","Home","1 any",174
2018,4,"Les Corts",20,"la Maternitat i Sant Ramon","Home","1 any",95
2018,4,"Les Corts",21,"Pedralbes","Home","1 any",40
2018,5,"Sarrià-Sant Gervasi",22,"Vallvidrera, el Tibidabo i les Planes","Home","1 any",12
2018,5,"Sarrià-Sant Gervasi",23,"Sarrià","Home","1 any",117
2018,5,"Sarrià-Sant Gervasi",24,"les Tres Torres","Home","1 any",80
2018,5,"Sarrià-Sant Gervasi",25,"Sant Gervasi - la Bonanova","Home","1 any",105
2018,5,"Sarrià-Sant Gervasi",26,"Sant Gervasi - Galvany","Home","1 any",219
2018,5,"Sarrià-Sant Gervasi",27,"el Putxet i el Farró","Home","1 any",157
2018,6,"Gràcia",28,"Vallcarca i els Penitents","Home","1 any",70
2018,6,"Gràcia",29,"el Coll","Home","1 any",35
2018,6,"Gràcia",30,"la Salut","Home","1 any",54
2018,6,"Gràcia",31,"la Vila de Gràcia","Home","1 any",234
2018,6,"Gràcia",32,"el Camp d'en Grassot i Gràcia Nova","Home","1 any",175
2018,7,"Horta-Guinardó",33,"el Baix Guinardó","Home","1 any",111
2018,7,"Horta-Guinardó",34,"Can Baró","Home","1 any",33
2018,7,"Horta-Guinardó",35,"el Guinardó","Home","1 any",150
2018,7,"Horta-Guinardó",36,"la Font d'en Fargues","Home","1 any",42
2018,7,"Horta-Guinardó",37,"el Carmel","Home","1 any",141
2018,7,"Horta-Guinardó",38,"la Teixonera","Home","1 any",51
2018,7,"Horta-Guinardó",39,"Sant Genís dels Agudells","Home","1 any",23
2018,7,"Horta-Guinardó",40,"Montbau","Home","1 any",21
2018,7,"Horta-Guinardó",41,"la Vall d'Hebron","Home","1 any",30
2018,7,"Horta-Guinardó",42,"la Clota","Home","1 any",1
2018,7,"Horta-Guinardó",43,"Horta","Home","1 any",105
2018,8,"Nou Barris",44,"Vilapicina i la Torre Llobeta","Home","1 any",88
2018,8,"Nou Barris",45,"Porta","Home","1 any",102
2018,8,"Nou Barris",46,"el Turó de la Peira","Home","1 any",77
2018,8,"Nou Barris",47,"Can Peguera","Home","1 any",7
2018,8,"Nou Barris",48,"la Guineueta","Home","1 any",63
2018,8,"Nou Barris",49,"Canyelles","Home","1 any",22
2018,8,"Nou Barris",50,"les Roquetes","Home","1 any",78
2018,8,"Nou Barris",51,"Verdun","Home","1 any",52
2018,8,"Nou Barris",52,"la Prosperitat","Home","1 any",95
2018,8,"Nou Barris",53,"la Trinitat Nova","Home","1 any",30
2018,8,"Nou Barris",54,"Torre Baró","Home","1 any",11
2018,8,"Nou Barris",55,"Ciutat Meridiana","Home","1 any",55
2018,8,"Nou Barris",56,"Vallbona","Home","1 any",6
2018,9,"Sant Andreu",57,"la Trinitat Vella","Home","1 any",56
2018,9,"Sant Andreu",58,"Baró de Viver","Home","1 any",9
2018,9,"Sant Andreu",59,"el Bon Pastor","Home","1 any",59
2018,9,"Sant Andreu",60,"Sant Andreu","Home","1 any",274
2018,9,"Sant Andreu",61,"la Sagrera","Home","1 any",155
2018,9,"Sant Andreu",62,"el Congrés i els Indians","Home","1 any",59
2018,9,"Sant Andreu",63,"Navas","Home","1 any",102
2018,10,"Sant Martí",64,"el Camp de l'Arpa del Clot","Home","1 any",149
2018,10,"Sant Martí",65,"el Clot","Home","1 any",101
2018,10,"Sant Martí",66,"el Parc i la Llacuna del Poblenou","Home","1 any",73
2018,10,"Sant Martí",67,"la Vila Olímpica del Poblenou","Home","1 any",50
2018,10,"Sant Martí",68,"el Poblenou","Home","1 any",190
2018,10,"Sant Martí",69,"Diagonal Mar i el Front Marítim del Poblenou","Home","1 any",92
2018,10,"Sant Martí",70,"el Besòs i el Maresme","Home","1 any",103
