"Any","Codi_Districte","Nom_Districte","Codi_Barri","Nom_Barri","Sexe","Edat any a any","Nombre"
2018,8,"Nou Barris",51,"Verdun","Home","59 anys",75
2018,8,"Nou Barris",52,"la Prosperitat","Home","59 anys",146
2018,8,"Nou Barris",53,"la Trinitat Nova","Home","59 anys",46
2018,8,"Nou Barris",54,"Torre Baró","Home","59 anys",13
2018,8,"Nou Barris",55,"Ciutat Meridiana","Home","59 anys",43
2018,8,"Nou Barris",56,"Vallbona","Home","59 anys",5
2018,9,"Sant Andreu",57,"la Trinitat Vella","Home","59 anys",47
2018,9,"Sant Andreu",58,"Baró de Viver","Home","59 anys",12
2018,9,"Sant Andreu",59,"el Bon Pastor","Home","59 anys",60
2018,9,"Sant Andreu",60,"Sant Andreu","Home","59 anys",387
2018,9,"Sant Andreu",61,"la Sagrera","Home","59 anys",191
2018,9,"Sant Andreu",62,"el Congrés i els Indians","Home","59 anys",92
2018,9,"Sant Andreu",63,"Navas","Home","59 anys",115
2018,10,"Sant Martí",64,"el Camp de l'Arpa del Clot","Home","59 anys",235
2018,10,"Sant Martí",65,"el Clot","Home","59 anys",187
2018,10,"Sant Martí",66,"el Parc i la Llacuna del Poblenou","Home","59 anys",87
2018,10,"Sant Martí",67,"la Vila Olímpica del Poblenou","Home","59 anys",76
2018,10,"Sant Martí",68,"el Poblenou","Home","59 anys",194
2018,10,"Sant Martí",69,"Diagonal Mar i el Front Marítim del Poblenou","Home","59 anys",75
2018,10,"Sant Martí",70,"el Besòs i el Maresme","Home","59 anys",129
2018,10,"Sant Martí",71,"Provençals del Poblenou","Home","59 anys",147
2018,10,"Sant Martí",72,"Sant Martí de Provençals","Home","59 anys",169
2018,10,"Sant Martí",73,"la Verneda i la Pau","Home","59 anys",160
2018,1,"Ciutat Vella",1,"el Raval","Home","60 anys",235
2018,1,"Ciutat Vella",2,"el Barri Gòtic","Home","60 anys",80
2018,1,"Ciutat Vella",3,"la Barceloneta","Home","60 anys",60
2018,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera","Home","60 anys",96
2018,2,"Eixample",5,"el Fort Pienc","Home","60 anys",166
2018,2,"Eixample",6,"la Sagrada Família","Home","60 anys",285
2018,2,"Eixample",7,"la Dreta de l'Eixample","Home","60 anys",217
2018,2,"Eixample",8,"l'Antiga Esquerra de l'Eixample","Home","60 anys",228
2018,2,"Eixample",9,"la Nova Esquerra de l'Eixample","Home","60 anys",315
2018,2,"Eixample",10,"Sant Antoni","Home","60 anys",216
2018,3,"Sants-Montjuïc",11,"el Poble Sec","Home","60 anys",238
2018,3,"Sants-Montjuïc",12,"la Marina del Prat Vermell","Home","60 anys",6
2018,3,"Sants-Montjuïc",13,"la Marina de Port","Home","60 anys",229
2018,3,"Sants-Montjuïc",14,"la Font de la Guatlla","Home","60 anys",54
2018,3,"Sants-Montjuïc",15,"Hostafrancs","Home","60 anys",84
2018,3,"Sants-Montjuïc",16,"la Bordeta","Home","60 anys",144
2018,3,"Sants-Montjuïc",17,"Sants - Badal","Home","60 anys",158
2018,3,"Sants-Montjuïc",18,"Sants","Home","60 anys",230
2018,4,"Les Corts",19,"les Corts","Home","60 anys",288
2018,4,"Les Corts",20,"la Maternitat i Sant Ramon","Home","60 anys",143
